record                             defect26%  ratio27       a  model%
causal/qk/ref0                         11.82   1.0353   0.069    3.07
causal/qk/ref1                         17.54   1.1686   0.304   13.11
causal/qk/ref2                          6.55   0.9586  -0.085    3.87
causal/qk/ref3                         66.67 None (floor-gated, s/ulp<32)
causal/qk/ref4                         22.53   0.8783  -0.265   12.36
scaled/qk/ref0                         27.70   1.3403   0.560   23.26
scaled/qk/ref1                         11.07   0.9596  -0.083    3.78
scaled/qk/ref2                         14.16   1.1078   0.201    8.82
scaled/qk/ref3                         18.18   0.9809  -0.039    1.75
scaled/qk/ref4                         13.35   1.0645   0.124    5.48
flash/rescaling/ref0                   99.99   2.2649   1.460   52.46
flash/rescaling/ref1                   99.99   2.2649   1.460   52.46
flash/rescaling/ref2                   99.99   2.2649   1.460   52.46
flash/rescaling/ref3                   99.99   2.2649   1.460   52.46
flash/rescaling/ref4                   99.99   2.2649   1.460   52.46
flash/rescaling/mutant                 99.99   2.2649   1.460   52.46
flash/rescaling/ref0                   99.99   2.2649   1.460   52.46
flash/rescaling/ref1                   99.99   2.2649   1.460   52.46
flash/rescaling/ref2                   99.99   2.2649   1.460   52.46
flash/rescaling/ref3                   99.99   2.2649   1.460   52.46
flash/rescaling/ref4                   99.99   2.2649   1.460   52.46
flash/rescaling/mutant                 99.99   2.2649   1.460   52.46
flash/rescaling/ref0                   99.99   2.2649   1.460   52.46
flash/rescaling/ref1                   99.99   2.2649   1.460   52.46
flash/rescaling/ref2                   99.99   2.2649   1.460   52.46
flash/rescaling/ref3                   99.99   2.2649   1.460   52.46
flash/rescaling/ref4                   99.99   2.2649   1.460   52.46
flash/rescaling/ref0                   99.99   2.2649   1.460   52.46
flash/rescaling/ref1                   99.99   2.2649   1.460   52.46
flash/rescaling/ref2                   99.99   2.2649   1.460   52.46
flash/rescaling/ref3                   99.99   2.2649   1.460   52.46
flash/rescaling/ref4                   99.99   2.2649   1.460   52.46
